title,artist,lyrics,emotion
Karalım,Gkhan Tepe,"Bir deli kurşun karalı Gözleri görmez yaralı Toprağa serdi yüreğimi Aldı canımdan canımı Ben de yenildim, yenilendim Sana vardım Bir garip aşkın masalı bu Dilleri susmuş yaralı Her yanı yanmış yüreğimin Aynaya küsmüş Sen göremezsin duyamazsın Adı böyle ayrılığın Bir garip aşkın masalı bu Gözleri görmez kapalı Hasreti çalmış baharını Yıllara kırgın, kanadını Sen saramazsın uçamazsın Adı böyle ayrılığın Ooooooooooooof ayrılık Yar dayanamam Beni de al Senle boyandım Bir deli aşkın masalı bu Dilleri susmuş yaralı Ezdiler öksüz çiçeğimi Geçmeden aşkın baharını Ben göremezdim bilemezdin Adı batsın ayrılığın Bir deli kurşun karalı Gözleri görmez yaralı Toprağa serdi yüreğini Aldı canımdan canımı Ben de yenildim, yenilendim Sana vardım Ooooooooooooof Ooooooooooooof ayrılık Yar Beni de sar Senle boyandım",aşk
Uzun Uzun Yollar,Gksel,Uzun uzun yolları aştım geldim Gözümü kararttım kaçtım geldim Bana bir kez gülesin diye Beni sarıp sevesin diye yar Yandım derdinle yar Vay aman yar Beni ele güne mahçup etme Beni boynu bükük geri gönderme Of yar zalim yar Yerden yere vursan da sevdalım sensin Halim de sormasan da dermanım sensin,aşk
Yalanın Batsın,Hande Yener,"[Bölüm] Sorsam bana benden yakındın Şimdi neden uzaktasın Hayal kurup hep inandırdın Yalanın batsın, yalancısın Sorsam bana benden yakındın Şimdi neden uzaktasın Hayal kurup hep inandırdın Yalanın batsın, yalancısın [Nakarat] Kapına köleyim desen inanır mıyım? Yalvarırken seni görsem inanır mıyım? Yeni aşk hayatında mutluluk dilerim Dönme sakın geri çok gülerim Kapına köleyim desen inanır mıyım? Yalvarırken seni görsem inanır mıyım? Yeni aşk hayatında mutluluk dilerim Dönme sakın geri çok gülerim [Bölüm] Sorsam bana benden yakındın Şimdi neden uzaktasın Hayal kurup hep inandırdın Yalanın batsın, yalancısın Sorsam bana benden yakındın Şimdi neden uzaktasın Hayal kurup hep inandırdın Yalanın batsın, yalancısın [Nakarat] Kapına köleyim desen inanır mıyım? Yalvarırken seni görsem inanır mıyım? Yeni aşk hayatında mutluluk dilerim Dönme sakın geri çok gülerim Kapına köleyim desen inanır mıyım? Yalvarırken seni görsem inanır mıyım? Yeni aşk hayatında mutluluk dilerim Dönme sakın geri çok gülerim Kapına köleyim desen inanır mıyım? Yalvarırken seni görsem inanır mıyım? Yeni aşk hayatında mutluluk dilerim Dönme sakın geri çok gülerim Kapına köleyim desen inanır mıyım? Yalvarırken seni görsem inanır mıyım? Yeni aşk hayatında mutluluk dilerim Dönme sakın geri çok gülerim",mutlu
Dem,Nev,"Öyle bir dem ki ruhum Hiç olayım derken meğer hep olmuşum Kelam edip dertleşip nağmelerle Sana da sebep olmuşum Bu dem Var git sor halin nedir? Ben olayım derken meğer sen olmuşum Derd-i cânım, söyleyip gezerken Sana da sebep olmuşum Bu dem Söz- Müzik : Nev Vokal : Nev Elektrik Gitar : Nev Perdesiz Akustik Gitar : Erkan Oğur Keyboard Programming : Volkan Başaran Bendir : Cengiz Ercümer",üzgün
Affet,Nalan,Benim derdim senle deðil kendimle Yüreðimle yeminimle Benim derdim senle deðil gecemle Ah cehennem gecelerle Yýllar yaksada gördükçe resmimi Yýllar sussada andýkça ismimi Affet yanýyorum affet Hatalarý affet isyanýmý affet Affet aðlýyorum affet Bir günaha mahkum kaderimi affet Yaþýyorum dargýn bana yarýnlar Küskün bana ah yarýnlar Biliyorum neden suçlu çizgiler Yüzündeki yorgun izler Yýllar yaksada gördükçe resmini Yýllar sussada andýkça ismini,melankoli
Siyah Beyaz,Pilli Bebek,"Siyah beyaz düşlerimde seni hatırlarım Bomboş ellerimde seni duyumsarım Sensiz gecelerde sensiz ağlarım Sonsuz gecelerde sensiz ağlarım Fırtınalar sabahında doğan günü duyumsarım Mevsimlerin sıcağında susuzluğa kanarım Yitip giden insanlara, dostlarıma ağlarım Yanlış zamanlara, sensizliğe ağlarım Nedensiz sorgusuz bir rüya gözlerimde Nedensiz sorgusuz bir duvar benliğimde Siyah beyaz düşlerimde seni hatırlarım Bomboş ellerimde seni duyumsarım Sensiz gecelerde sensiz ağlarım Sonsuz gecelerde sensiz ağlarım",umut
Şansın Bol Olsun,Hande Yener,Çok yürüdüm ama ne buldum Sevecek derken aşktan oldum Yolları şaşırdım en sonunda Ben de kayboldum Hep inandım ama yanıldım Çiçeğindim el diline söz oldum Mum gibi eridim en sonunda Ben de kayboldum Beni artık arasanda Çok zor bulursun Sana artık tek sözüm var Şansın bol olsun Ayrılığım seni yakmadı mı? Yüzün kızarmış canın acımadı mı? Ayrılık ilacın olmadı mı? Son sözü söyledim koymadı mı?,üzgün
Kazanamadık,Hande Yener,Yazılmış ayrılıklara çare bulamadık Güzeldi her şey yine bir arada olamadık Belki bir gün döner şansımız merak etme Biz senle kazanamadık Hava soğuk bekleme o kapıda Yeterince acı var bavulumda Kimsenin hatrına görünmez aşk aynada Bir kader oyunu yazılmış anlımıza Ne yardan geçer gönül Ne bir kula boyun eğer Bu el senin olsun kader Gün gelir devran döner Ne yardan geçer gönül Ne bir kula boyun eğer Bu el senin olsun kader Gün gelir devran döner Yaralı yüreğimize çare bulamadık Güzeldi her şey başka kalpleri kırmadık Belki bir gün döner şansımız merak etme Ne sen ne ben bu oyunu kazanamadık Hava soğuk bekleme o kapıda Yeterince acı var bavulumda Kimsenin hatrına görünmez aşk aynada Bir kader oyunu yazılmış anlımıza Ne yardan geçer gönül Ne bir kula boyun eğer Bu el senin olsun kader Gün gelir devran döner Ne yardan geçer gönül Ne bir kula boyun eğer Bu el senin olsun kader Gün gelir devran döner,mutlu
Kış Geliyor,mor ve tesi,"[Bölüm 1] Kış geliyor Bağıra çağıra Sevmem ki Kim geliyor? Yanıma yanıma Bilmez ki [Köprü] Kış ortasında kaç kere yakar güneş [Bölüm 2] Kış geliyor Bağıra çağıra Sevmem ki Kim geliyor? Yanıma yanıma Durmaz ki Durmaz ki [Nakarat] Yeni rüyam da güneşimle soldu Yeni adamla yeni kadın doğmadan zordu Ayna ayna, sihirli ayna Neler söyledin bana? [Köprü 2] Kış ortasında kaç kere doğar güneş Kış geliyor Kış geliyor [Nakarat] Yeni rüyam da güneşimle soldu Yeni adamla yeni kadın doğmadan zordu Ayna ayna, sihirli ayna Neler söyledin bana? [Son] Ayna ayna, sihirli ayna Neler söyledin bana?",umut
Dayanamam,Gkhan zen,"Yorgunum özlemekten hayalini Aðlarým gözlerimde yaþlar seli Bir seni unutmadým yýllardýr Birde ben aðlarken gittiðini Dayanamam inan dayanamam buna Unutamam bir an, dokunamam sana Harcanýrým uðruna aldýrmadan zamana Diyemem dilim varmaz diyemem elveda Yalnýzým taþýyamam sensizliði Aðlatýr gecelerin sessizliði Bir seni unutmadým yýllardýr Birde ben aðlarken gittiðini...",üzgün
Lambaya Püf De,Kurban,"Lambaya püf de Hoh deme, püf de Perdeyi ört kız Çekme de ört kız Lambaya püf de Hoh deme, püf de Perdeyi ört kız E açma da ört kız Kol sarıyor, kol basıyor Kız ben yanıyo'm Ben yanıyo'm sarı kız Lambaya püf de Hoh deme, püf de Perdeyi ört kız E açma da ört kız",melankoli
Kök-Tengri,Pagan (TUR),"""Dipsiz, geniþ, sonsuzdur, kara yelin en altý Devinimsizce duran, kapkara bir karaltý..."" Kök-Tengri - Koruyacaktýr seni! Oðuz-Han - Tanrý Daðý'ndan sana bakan Gök-Tanrý, gören gözüyle ýþýr; Amaç Gök-böri'nin gösterdiði yoldadýr ""...Dokuz Felek çýðrýsý, göklerin üst katýdýr Göklerin en üstünde, dönüp duran çatýdýr Gök katlarý dizilir, göklerin altýnda Pek çok acunlar vardýr,göðün yedi katýnda..."" Su Od Demir Gökten indirilmiþ Kök-Tengri kiþioðluna þöyle seslenmiþ: ""Yerini yurdunu koru, kýsa zamanda kur ordunu Güneþ doðudan doðar, sakýn unutma bunu."" ""...Bir göbek yeri vardýr,göklerin ortasýnda Kök-Tengri uçmak kurmuþtur katlarýn arasýnda."" Kök-Tengri - Koruyacaktýr seni! Oðuz-Han - Tanrý Daðý'ndan sana bakan Gök-Tanrý,gören gözüyle ýþýr; Amaç Gök-böri'nin gösterdiði yoldadýr Yeryüzü, göklerin altýnda Orta-Acun'da derler buraya Er-Sogotoh'un çocuklarý yaþar Gök-Tanrý'nýn verdiði kutla",melankoli
Değerini Bilemedin,Deniz Seki,Günün birinde Aklina gelirsem eger Sakin üzülme Günün birinde Belki aklina gelirsem diye Sakin üzülme Bu can sana fedaydi Bir zamanlar Degerini bilemedin Gül üstüne güller kokladin Kendine gelemedin Korkuyorsam bende daha verdim Sen kaybettin O kadar söylediler bana Ama kimseye inanmadim Ne istedin ki benden Bos yere benle oynadin,öfke
Yumurta,Rashit,"Yumurta dayanmadan neden Anlamazsın her şey berbat zaten İlla ki kazık gerek Son ana kadar bekleyerek Halin vaktin yerindeyse İşler tıkır, tıkır yürürse Mutlusun sen huzurlu Madem ceplerin dolu Ama bir gün canın yanarsa Avaz, avaz başla bağırmaya Umursamazdın başkalarını Başına aynısı gelmiş olsa da Ama bir gün canın yanarsa Avaz, avaz başla bağırmaya Umursamazdın başkalarını Başına aynısı gelmiş olsa da Olsa da! Bu bencilliktir işte sorun Hep kendim, kendim demek Oysa yumurta dayanmadan Gerçeği görmek ve istemek Ama bir gün canın yanarsa Avaz, avaz başla bağırmaya Umursamazdın başkalarını Başına aynısı gelmiş olsa da Ama bir gün canın yanarsa Avaz, avaz başla bağırmaya Umursamazdın başkalarını Başına aynısı gelmiş olsa da Ama bir gün canın yanarsa Avaz, avaz başla bağırmaya Umursamazdın başkalarını Başına aynısı gelmiş olsa da Olsa da!",aşk
Nerdesin?,Sertab Erener,En fazla birkaç ay sürer Beni unutmak demistin Sen gideli yillar oldu bak unutmadim Yaziyorum bos kagitlara hala ismini Sadece birkaç dakika mi Hayir binlerce saniye Sana dogru sürüklenmisim kuru bir yapragin Yogun sürüklenisi gibi rüzgarda Nerdesin nerdesin Kalbim daglardan da soguk nerdesin Nerdesin Dünyanin taslari kadar Eski içimdeki sevgi Dün burda bekliyorum Gelmeni beni sevmeni Ah bana söz verdigin gibi Nerdesin nerdesin Kalbim daglardan da soguk nerdesin Nerdesin Eger dönmeyeceksen dön gel Eger yasiyorsan cevap ver Kalbim daglardan da soguk nerdesin Nerdesin nerdesin,melankoli
Paramparça,Teoman,"[1. Bölüm] Saatim yok, tam olarak bilemem Biraz bira, biraz şarap önceydi Nasıl oluyor vakit bir türlü geçmezken Yıllar, hayatlar geçiyor? [2. Bölüm] Kayıp bir bavul gibiyim havaalanında Ya da boş bir yüzme havuzu sonbaharda Çok mu ayıp hâlâ mutluluk istemek? Neyse zaten hiç halim yok [Nakarat] Bugün benim doğum günüm Hem sarhoşum, hem yastayım Bir bar taburesi üstünde Babamın öldüğü yaştayım Bugün benim doğum günüm Kelimeler büyüyor ağzımda Bildiğim tüm hayatlar Paramparça, paramparça [3. Bölüm] Takatim yok, yine de telefona sarıldım Son bir özür için tüm sevdiğim kadınlardan Aradım, mesajlar çıktı kapattım Telesekretere konuşamayanlardanım [Nakarat] Bugün benim doğum günüm Hem sarhoşum, hem yastayım Bir bar taburesi üstünde Babamın öldüğü yaştayım Bugün benim doğum günüm Kelimeler büyüyor ağzımda Bildiğim tüm hayatlar Paramparça, paramparça Paramparça, paramparça [Çıkış] Bugün benim doğum günüm Hem sarhoşum hem yastayım Bir bar taburesi üstünde Babamın öldüğü yaştayım Bugün benim doğum günüm Kelimeler büyüyor ağzımda Bildiğim tüm hayatlar Paramparça, paramparça Paramparça, paramparça Paramparça, paramparça Paramparça, paramparça",üzgün
Yavaş,Yksek Sadakat,Yavaş Yavaş Yuvarlanıp sallanarak Yarana otlar basarak Varacağın asude park Seni içine alacak Her şey mazide kalacak Yavaş Yavaş Yavaş Yavaş Zaten kardeş gibidir Barış ve savaş Her şey yoluna girer Yavaş Yavaş Yavaş Yavaş Yavaş Yavaş Yuvarlanıp sallanarak Yarana otlar basarak Varacağın asude park Seni içine alacak Her şey mazide kalacak Yavaş Yavaş Yavaş Yavaş Zaten kardeş gibidir Barış ve savaş Her şey yoluna girer Yavaş Yavaş Zaten kardeş gibidir Barış ve savaş Her şey yoluna girer Yavaş Yavaş Yavaş Yavaş,melankoli
Resimdeki Gözyaşları,Cem Karaca,[Nakarat] Bir gün belki hayattan Geçmişteki günlerden Bir teselli ararsın Bak o zaman resmime Gör akan o yaşları [1. Bölüm] Benden sana son kalan Bir küçük resim şimdi Cevap veremez ama Ağlar yalnızlığına Ve işte arda kalan Bir avuç anı şimdi Koyup da bir başıma Bırakıp gittin beni [Nakarat] Bir gün belki hayattan Geçmişteki günlerden Bir teselli ararsın Bak o zaman resmime [2. Bölüm] Sen yalnız değilsin Biliyorum ner'desin Bu üzerdi beni Yaşasaydım ve görseydim [Nakarat] Bir gün belki hayattan Geçmişteki günlerden Bir teselli ararsın Bak o zaman resmime Gör akan o yaşları,melankoli
Ah...,Ahmet Kaya,"[1. Bölüm] Yüzünün yarısı göz kadife yansımalı Bulutlu siyah, ah bulutları eflatun O boy aynasından çıktı fransızın malı Vişne asidi vardı tadında rujunun Ah sinema yıldızı filan olmalı Ağızlığı kristal, son derece uzun [2. Bölüm] Ellerinde ruh gibi, ah portakal kokusu Kırkmaları morsalkım, göz kapakları saydam Çok vapurun battığı bir liman orospusu Bir hırsla öptüm ki ah, ölürüm unutamam Ay ışığında deniz akordiyon solosu Pırıl pırıl yaşadım üç dakika tastamam [3. Bölüm] Bir kibrit çakıldı mı ah, yağmurluklu kız Alevinden anlamlı dumanlar üfürüyor Ah çocuk yüzünde gül goncası ağız Saçlarından incecik su tozu dökülüyor Sığınak gibi derin, ağaçlar gibi yalnız Karartma başlamış, ışıklar örtülüyor [4. Bölüm] Tavana asılmış sosyalist saçlarından Ah sabah sabah omuzları kan içinde İşkence sonrası genç bir kadın militan Yığınlar uğulduyor hummalı gençliğinde Adı bile çıkmamış dudaklarından Doğru yaşadığının sımsıkı bilincinde ",korku
Beni Al,Pinhani,"[Verse 1] Bugünüm yarın olsa, ya da hep yeni baştan Yaşamak ne güzel olur hiç başlamamışsan Geriye ne kalırdı, yaşananları atsan Seni bir daha yaşamak isterim aslında [Chorus] Beni al kucağına, elini belime sar Beni almadığın an üşürüm sabaha kadar Beni al kucağına, elimi beline sar Beni almadığın an ölürüm beni al [Verse 2] Biraz önce uyurken, seni koynuma aldım Dudağından öperken uykudan uyandım Sana böyle uzakken, seni bir daha sevdim Yanına gelebilsem bir daha dönmezdim [Chorus] Beni al kucağına, elini belime sar Beni almadığın an üşürüm sabaha kadar Beni al kucağına, elimi beline sar Beni almadığın an ölürüm beni al [Outro] Beni al kucağına, üşürüm sabaha kadar Beni al kucağına, üşürüm sabaha kadar",mutlu
Özledim,Flrt,"Yağmur oldun, toprak oldun belki de Emdiğim süt oldun, can oldun bana Bir albatros sana şarkını söylüyor… İsmi; Özledim Seni çok özledim Pamuk saçların elimde şimdi Koklarım onları doya doya Giderken çocukluğumu da götürdün benim Peki şimdi… Gel desem Gelir misin anne?",melankoli
Efkarlı,Nev,Efkarlıyım başım duman Sitemim var ey koca çınar Zor günümde nicesini andım Muhabbet yetmezmiş bilmedim Dün bugün dedim gönlüm avuttum Yarın yetmezmiş bilmedim Dert bir yandan sevda bir yandan Derman yetmezmiş bilmedim sitem ne çare Şu dünyanın haline kandım Ben yalnızmışım bilmedim Gönül için için yanar da Sabır yetmezmiş bilmedim sitem ne çare Efkarlıyım başım duman Sitemim var ey koca çınar,melankoli
Gel Aşkım,Gkhan Tepe,Gel paylaşalım ne var ne yoksa herşeyi yitirmeden Gel kirlileri temize çekelim serelim yeniden Gel senden uzak sevdalarda yüreğim uyur gezer Gel istiyorum çılgın gibi gel Gel zaman mekan mühim değil yeter ki gel Gel savaşmadan savunmadan esirinim ben İstersen bahar gelir çiçeklenir açar yürek Gel istiyorum çılgın gibi gel,aşk
Demedim Mi Haydar,Ahmet Kaya,"[1. Bölüm] Biz dağlarda keklik idik Şimdi bu çöplükte karga olduk Bizim de boyumuzu aştı bu şehir Yerlere serildik, madara olduk Bizim de boyumuzu aştı bu şehir Yerlere serildik, madara olduk [Nakarat](x2) Demedim mi Haydar, demedim mi sana: Bu İstanbul yutar adamı! Demedim mi Haydar, demedim mi söyle: Bu şerefsiz geceler satar adamı! [2. Bölüm] Biz umutlar yolcusuyduk Rakı sofrasında bir meze olduk Bizim de harcımız değildi sevmek Yosmalar içinde kepaze olduk Bizim de harcımız değildi sevmek Yosmalar içinde kepaze olduk [Nakarat](x3) Demedim mi Haydar, demedim mi sana: Bu İstanbul yutar adamı! Demedim mi Haydar, demedim mi söyle: Bu şerefsiz geceler satar adamı! ",korku
Melek,Candan Eretin,Biliyorum sen bir meleksin Bana yardım için gönderildin Biliyorum sen bir meleksin Zor günlerimde çıkageldin Yüzümü güldürdün başımı döndürdün Acımı dindirdin yolumdan çevirdin Eğlendirdin sakinleştirdin Ehlileştirdin ve daha bir sürü şey.. Canım mısın sen benim misin Her şeyim misin sen Hoş geldin melek Sefalar getirdin Ya gelmeseydin yetişemeseydin Beni bulamasaydın ne yapardım Yarım kalırdım melek Biliyorum sen bir meleksin Seni sevmem için gönderildin Biliyorum sen bir meleksin Son demlerimde çıkageldin Yüzümü güldürdün başımı döndürdün Acımı dindirdin yolumdan çevirdin Eğlendirdin sakinleştirdin Ehlileştirdin ve daha bir sürü şey.. Canım mısın sen benim misin Her şeyim misin sen Hoş geldin melek Sefalar getirdin Ya gelmeseydin yetişemeseydin Beni bulamasaydın ne yapardım Yarım kalırdım melek,aşk
Savaşçının Yolu,Yksek Sadakat,Bahçede durdum az önce Kapının tam önünde Bunca yıldan sonra babamın evinde Her şey eski yerinde Bu oyunda yalnızsın kimse seni anlamaz Ha sönmüş ha yanmışsın hiçbiri umursamaz Merhamet istiyorsan o annenin evinde Ben annen değilim ki bunlar beni bağlamaz Yorulsam terk edilsem yalnız kalsam sonunda Hepsi bir ayrıntıdır savaşçının yolunda Parlamak istiyorsan sönmeyi bilmen gerek Savaşçının yolunda acıyı sevmen gerek,üzgün
Kurban,Kurban,"[Bölüm 1] Gün olsam, güneş olsam Karanlık gecende gelip doğsam Canımdan can alsan [Kavuştak] Nur düşer mi yoluna? Acın diner mi sonunda? [Bölüm 2] Rüzgâr olsam, yağmur olsam Hiç sormadan gidişine, bakıp ağlasam Taş olsam, engel olsam Elimi açsam göğe bağırsam [Kavuştak X2] Nur düşer mi yoluna? Acın diner mi sonunda?",korku
Sevgiler Ölünceye Kadar Cest Venice,Ajda Pekkan,Dünyaya gözünü açtığın o anda korku başlar Nedendir bilmeden ağlarsın birikir içinde yaşlar Bir ninni sesiyle durulur sarılır annenin koynuna Bu rahat bu huzur bir daha belki de duyulmaz asla Bir ömür böylece başlıyor sürüyor yıllar boyunca Güzeli sevmeyi öğreten kalbe hemen inanma Gerçekte saklıdır yalanlar her gülün gizlidir dikeni Aldırma bedeli var herşeyin mutluluğun da Severiz acıyla sevinçle Bazen bir ömür bazen de yalnız bir tek gece Severiz istemeden de Söz geçmiyor kalbe Olmadık hayallerinde pesinde Bir ömür böylece başlıyor sürüyor yıllar boyunca Güzeli sevmeyi öğreten kalbe hemen inanma Gerçekte saklıdır yalanlar her gülün gizlidir dikeni Aldırma bedeli var herşeyin mutluluğun da Sevgiler ölünceye kadar Sonsuz dolar taşar boş yıllarda yaşar anılar Severiz taa nefrete kadar Bir akşam bitmeden gönüller yenisini arar,mutlu
Aynalar,Zuhal Olcay,Harmanım ben harmanım Kırk satırlık fermanım Yok dizimde dermanım Eyletmen beni Söyletmen beni Ağlatman beni Aynaler aynalar İster anam darılsın İster babam darılsın Vuran elim kırılsın Hüznüm sizde görünür Saçım beyaz örülür Yaşarken de ölünür Söyletmen beni Ağlatman beni Aynaler aynalar Yüzümde hep o çizgiler İçimde hep ezgiler Uçup gitti seneler Eyletmen beni Söyletmen beni Ağlatman beni Aynaler aynalar,üzgün
Neden Bilmem,Siya Siyabend,"Neden bilmem,bize derman olması gerekenlerin bizden kaçması Neden bilmem,Diyarbakır da barış güllerinin açması,Mardin de,İstanbul da Neden bilmem,zor bu dünya,yaşamakla uğraşmak Neden bilmem,bize derman olacakların bizden kaçması Neden bilmem,dostumuzun seyrimizden tatmaması Neden bilmem,yüreklerimizi bir iğnenin iplikten geçişi gibi saran bu sevdalar Açmaz yollarımızı, neden bilmem Canım,kör yılanların arasında bırakılmış canım Elleri kesik başları uçurtmalara sevdalı canım Bir türlü akmaz suların kör pınarında doğan canım Kavururken zemheri ortalığı yüreğinde yazdan canım Gülsen biraz,zamanı geldi.... Canım bak,sofralar kuruldu bahar geldi Gönül sultanım,efendim,dermanım sende kaldı Hayranım Bin yıllık öfkelerine hayranım Bırak suların başlarını tutsunlar Bırak bizi burada unutsunlar Bırak onları Dört bir yanını sardığında ölülerin sancısı Ve dört bir yanından yakalandığında Dört bir yanın yangın yerine döndüğünde... Yok sen şimdi gel bütün bunlar olmadan Sen şimdi gel son nefer can veren..... Şimdi gel... Şimdi gel...",aşk
Yalan,Hepsi,"[""Yalan"" için şarkı sözleri] [Bölüm 1] Hani bensiz bir hiçtin? ""Nefes bile almak zor."" derdin Ben senin her şeyindim Yalan, yalan! Gözü görmez başkasını Seznle ben, elmanın iki yarısı Bir ömür boyu beraber Yalan, yalan! [Köprü] Şimdi gördüm Gerçek yüzünü [Nakarat] Güne açan çiçekler gibiyiz Yalan, yalan Öyle saf ki sevgimiz Yala-a-a-a-a-n! Ayıramaz bizi hiç kimse Yalan, yalan Ölene dek beraberiz Yala-a-a-a-a-n! Güne açan çiçekler gibiyiz Yalan, yalan Öyle saf ki sevgimiz Yala-a-a-a-a-n Ayıramaz bizi hiç kimse Yalan, yalan Ölene dek beraberiz Yala-a-a-a-a-n [Bölüm 2] Hani bensiz bir hiçtin? ""Nefes bile almak zor."" derdin Ben senin her şeyindim Yalan, yalan Gözü görmez başkasını Senle ben, elmanın iki yarısı Bir ömür boyu beraber Yalan, yalan [Köprü] Şimdi gördüm Gerçek yüzünü [Nakarat] Güne açan çiçekler gibiyiz Yalan, yalan Öyle saf ki sevgimiz Yala-a-a-a-a-n! Ayıramaz bizi hiç kimse Yalan, yalan Ölene dek beraberiz Yala-a-a-a-a-n! Güne açan çiçekler gibiyiz Yalan, yalan Öyle saf ki sevgimiz Yala-a-a-a-a-n Ayıramaz bizi hiç kimse Yalan, yalan Ölene dek beraberiz Yala-a-a-a-a-n [Interlude: Murat Boz & Hepsi] Güne açan çiçekler gibiyiz He he, he he Öyle saf ki sevgimiz Yala-a-a-a-a-n Ayıramaz bizi hiç kimse He he, he he Ölene dek beraberiz Yala-a-a-a-a-n! [Nakarat] Güne açan çiçekler gibiyiz Yalan, yalan Öyle saf ki sevgimiz Yala-a-a-a-a-n! Ayıramaz bizi hiç kimse Yalan, yalan Ölene dek beraberiz Yala-a-a-a-a-n! Güne açan çiçekler gibiyiz Yalan, yalan Öyle saf ki sevgimiz Yala-a-a-a-a-n Ayıramaz bizi hiç kimse Yalan, yalan Ölene dek beraberiz Yala-a-a-a-a-n [Çıkış] Hani bensiz bir hiçtin?",öfke
Ve,Mustafa Sandal,"Canını sıkma, keyfini bozma Geniş tut kalbini sen İçine atma, fiyakanı bozma Geniş tut Cennetten bir parçasın Sakın şaşırma doğru yoldasın Hadi farz et ki başkasın Acele etme sıranı bekle Ve Belki bir gün ışıkların Kaçıp gelir odalardan Yine belki Belki bir gün rüyaların Uçup gelir uykulardan Belki de bir gün Şansın döner",umut
Deniz Üstü Köprüdür,Ruhi Su,Deniz üstü köpürür Kayýða binsem götürü Benim buraya geliþim Bir güzelden ötürü Denizin ortasýnda Kum yanar sobasýnda,mutlu
Emrin Olur,Kayahan,Akþam dalgalar vurur sahil boyuna vurur içimi yýkar Siyah kelebeklerim uçar delice ahým ölüme kadar Gönül acýlar çeker yalnýz baþýna Yeter bu kadar yeter Yarim bu günahlarýn kalmaz yanýna Mevlam adamý yakar Gülüm diye diye caným diye diye deli oldum ben Caným bile bile gülüm bile bile kölen oldum ben Adýný yazmýþlar gökyüzüne Fýrtýnalar düþmüþ kaderime Yolumu çizmiþsin sen yine Emrin olur gülüm emrin olur Akþam dalgalar vurur sahil boyuna vurur içimi yýkar Siyah kelebeklerim uçar delice ahým ölüme kadar Gülüm diye diye caným diye diye deli oldum ben Caným bile bile gülüm bile bile kölen oldum ben Adýný yazmýþlar gökyüzüne Fýrtýnalar düþmüþ kaderime Yolumu çizmiþsin sen yine Emrin olur gülüm emrin olur Adýný yazmýþlar gökyüzüne Fýrtýnalar düþmüþ kaderime Yolumu çizmiþsin sen yine Emrin olur gülüm baþ üstüne,mutlu
Pelin,Nil Karaibrahimgil,"Hayat bazen birini seçer Biz ""pas!"" deriz söz Pelin'e geçer Pelin'in bir stili var Mesela aşık olmaz Biz hepimiz buluşuruz Pelin'in vakti olmaz Bak Pelin'e Pelin'e Mor bana gitmez Pelin'e gider O beni sevez Pelin'i sever Kader bana gülmez Pelin'e güler Kimse beni çekmez Pelin'i çeker Hayat bazen birini seçer Biz ""pas!"" deriz söz Pelin'e geçer Pelin'in aşkı şuymuş Dünyada bulunmaz Pelin'in fikri buymuş Pelin'le yarışılmaz Bak Pelin'e Pelin'e...",aşk
Siz,Nil Karaibrahimgil,"[Giriş] Bana sorsan tipsizdim, yeteneksizdim Ne kadınlık bilirdim, tam beceriksizdim [1. Kıta] Sizin bana olan aşkınız, şaka mı yaptınız ? Beni mest ettiniz hep met ettiniz Çok sevdiniz, pişman mısınız? Denediniz, dost mu düşman mısınız? Farklı mıydım değildim, bi' de kibirliydim Değişiceğim der değişmezdm, hep aynı bendim [Nakarat] Nasıl bana bakıp şaştınız, şaka mı yaptınız? Beni mi kastettiniz? Hep yücelttiniz Çok sevdiniz, pişman mısınız? Denediniz, dost mu düşman mısınız? Çok sevdiniz, pişman mısınız? Denediniz, dost mu düşman mısınız? [Ara] [Köprü] Beni mest ettiniz hep met ettiniz Çok sevdiniz, pişman mısınız? Denediniz, dost mu düþman mısınız? Çok sevdiniz, pişman mısınız? Denediniz, dost mu düþman mısınız? Çok sevdiniz, pişman mısınız? Denediniz, dost mu düþman mısınız? Çok sevdiniz, pişman mısınız? Denediniz, dost mu düşman mısınız?",öfke
Kafile,Yksek Sadakat,"[Bölüm 1] Bendeki bu ateş sönmeden Mevsim yazdan hazana dönmeden Gözlerine uykular inmeden Göğsüne yatır beni, düşlere götür beni Aşk bu cana bedenden hak ise Can ne cami çeker ne kilise Ten sönmeden bitmez bu hadise Beni yanlış anlama Şikayetim yok ama Ben aşkı böyle bildim Gel merhem ol yarama [Nakarat] Ben hem kalp hem bedenim Nefestir ruhum benim Aşk şarabı içerim Tez gelse de ecelim Ben hem kalp hem bedenim Ateşten ruhum benim Aşk şarabı içelim Kendimizden geçelim [Bölüm 2] Bendeki bu ateş sönmeden Mevsim yazdan hazana dönmeden Gözlerine uyku inmeden Göğsüne yatır beni, düşlere götür beni Bir ömür böyle geçmez ah ile Ağlasan da gülsen de nafile Sen dursan da yürür bu kafile Beni yanlış anlama Şikayetim yok ama Ben aşkı böyle bildim Gel merhem ol yarama [Nakarat] Ben hem kalp hem bedenim Nefestir ruhum benim Aşk şarabı içerim Tez gelse de ecelim Ben hem kalp hem bedenim Ateşten ruhum benim Aşk şarabı içelim Kendimizden geçelim Ben hem kalp hem bedenim Aşk şarabı içelim Ben hem kalp hem bedenim Aşk şarabı içelim",aşk
